 119 Althaea 1999 08 10.000 81.98076 2.5805271 0.0812862 169.63732 203.81003 5.77123 8.42 0.15
 120 Lachesis 1999 08 10.000 23.80963 3.1156289 0.0627533 234.41237 341.58612 6.95520 7.75 0.15
 121 Hermione 1999 08 10.000 193.42826 3.4411593 0.1461458 294.35049 73.53104 7.57997 7.31 0.15
 122 Gerda 1999 08 10.000 178.58862 3.2159322 0.0467195 329.91663 178.77688 1.63733 7.87 0.15
 123 Brunhild 1999 08 10.000 156.04799 2.6951705 0.1207791 125.54782 307.99870 6.42604 8.89 0.15
 124 Alkeste 1999 08 10.000 350.99527 2.6298713 0.0783040 61.46930 188.38341 2.94903 8.11 0.19
 125 Liberatrix 1999 08 10.000 44.43134 2.7427141 0.0778571 107.91686 169.41592 4.65705 9.04 0.33
 126 Velleda 1999 08 10.000 139.38017 2.4384917 0.1055997 327.05409 23.55592 2.92435 9.27 0.15
 127 Johanna 1999 08 10.000 173.87262 2.7544863 0.0660823 92.77851 31.55596 8.25511 8.3 0.15
 128 Nemesis 1999 08 10.000 316.20805 2.7489394 0.1273110 303.59296 76.49149 6.25314 7.49 0.15
 129 Antigone 1999 08 10.000 281.93769 2.8666464 0.2141152 108.67719 136.48567 12.22558 7.07 0.33
 130 Elektra 1999 08 10.000 103.02143 3.1172542 0.2139295 234.28264 145.84105 22.89028 7.12 0.15
 131 Vala 1999 08 10.000 120.73632 2.4324359 0.0663815 158.17830 65.82146 4.95554 10.03 0.15
 132 Aethra 1999 08 10.000 28.64364 2.6097313 0.3878076 254.38398 258.95530 25.05329 9.38 0.15
 133 Cyrene 1999 08 10.000 252.66869 3.0587574 0.1409825 291.72657 319.27330 7.23303 7.98 0.13
 134 Sophrosyne 1999 08 10.000 181.51705 2.5639282 0.1165516 84.19449 346.28976 11.58406 8.76 0.28
 135 Hertha 1999 08 10.000 263.55487 2.4298684 0.2043099 339.58919 344.08280 2.30264 8.23 0.15
 136 Austria 1999 08 10.000 325.09283 2.2866423 0.0843148 132.58608 186.62385 9.57452 9.69 0.15
 137 Meliboea 1999 08 10.000 190.01682 3.1125542 0.2222225 107.48513 202.48759 13.42921 8.05 0.15
 138 Tolosa 1999 08 10.000 195.36103 2.4480493 0.1630410 259.15678 55.09495 3.20993 8.75 0.15
 139 Juewa 1999 08 10.000 183.68595 2.7815711 0.1753033 165.64277 2.21602 10.93712 7.78 0.15
 140 Siwa 1999 08 10.000 289.13282 2.7325020 0.2161593 195.70143 107.37381 3.18910 8.34 0.15
 141 Lumen 1999 08 10.000 328.63166 2.6650207 0.2155498 57.99197 318.85243 11.88460 8.2 0.15
 142 Polana 1999 08 10.000 315.57269 2.4176466 0.1373699 292.19750 291.41295 2.23835 10.27 0.15
 143 Adria 1999 08 10.000 335.57743 2.7620652 0.0725958 251.68015 333.29187 11.46923 9.12 0.15
 144 Vibilia 1999 08 10.000 168.61626 2.6564409 0.2327834 293.07557 76.69135 4.81035 7.91 0.17
 145 Adeona 1999 08 10.000 275.31740 2.6756557 0.1441791 44.28475 77.54034 12.61950 8.13 0.15
 146 Lucina 1999 08 10.000 277.13905 2.7182929 0.0658937 144.86068 84.27728 13.07723 8.20 0.11
 147 Protogeneia 1999 08 10.000 62.73720 3.1351260 0.0353295 110.17019 248.76025 1.93410 8.27 0.15
 148 Gallia 1999 08 10.000 266.08710 2.7705566 0.1871024 252.62242 145.24828 25.28577 7.63 0.15
 149 Medusa 1999 08 10.000 175.00731 2.1749163 0.0648298 250.89864 159.65336 0.93612 10.79 0.15
 150 Nuwa 1999 08 10.000 29.30096 2.9826520 0.1316333 153.11423 206.49709 2.19330 8.23 0.15
 151 Abundantia 1999 08 10.000 115.00637 2.5910269 0.0352610 133.40633 39.13199 6.45264 9.24 0.15
 152 Atala 1999 08 10.000 40.47762 3.1415063 0.0708419 54.71369 40.15520 12.13410 8.33 0.15
 153 Hilda 1999 08 10.000 355.82057 3.9754200 0.1427815 43.06829 228.42912 7.83721 7.48 0.15
 154 Bertha 1999 08 10.000 140.28234 3.1824811 0.0898510 153.15740 37.17033 21.10392 7.58 0.15
 155 Scylla 1999 08 10.000 339.65824 2.7598108 0.2738652 45.59544 41.13276 11.39514 11.39 0.15
 156 Xanthippe 1999 08 10.000 348.77284 2.7316920 0.2239124 338.08411 242.28129 9.75509 8.64 0.15
 157 Dejanira 1999 08 10.000 278.53796 2.5824128 0.1954644 46.50980 62.17344 12.15034 10.6 0.15
 158 Koronis 1999 08 10.000 193.50142 2.8684593 0.0543209 145.95213 278.68123 1.00436 9.27 0.15
 159 Aemilia 1999 08 10.000 171.03249 3.0994467 0.1108934 337.13846 134.37859 6.12312 8.12 0.15
 160 Una 1999 08 10.000 229.06126 2.7267161 0.0668159 51.73054 8.99070 3.82662 9.08 0.15
 161 Athor 1999 08 10.000 124.71338 2.3782916 0.1388834 294.03326 18.84174 9.05057 9.15 0.13
 162 Laurentia 1999 08 10.000 222.07964 3.0242510 0.1772729 112.01482 36.52994 6.09935 8.83 0.15
 163 Erigone 1999 08 10.000 43.23444 2.3676876 0.1901191 297.53512 160.39778 4.80405 9.47 -0.04
 164 Eva 1999 08 10.000 229.64564 2.6349617 0.3433971 283.62660 77.24279 24.48477 8.89 0.15
 165 Loreley 1999 08 10.000 95.10111 3.1328684 0.0796303 352.43107 302.80396 11.21927 7.65 0.15
 166 Rhodope 1999 08 10.000 286.80575 2.6843725 0.2127363 264.43083 129.16929 12.00789 9.89 0.15
 167 Urda 1999 08 10.000 216.98564 2.8528481 0.0368955 126.10293 166.47816 2.20802 9.24 0.15
 168 Sibylla 1999 08 10.000 276.56776 3.3769271 0.0595354 164.05706 207.13469 4.61655 7.94 0.15
 169 Zelia 1999 08 10.000 2.08735 2.3580189 0.1310120 334.89639 354.93479 5.51030 9.56 0.15
 170 Maria 1999 08 10.000 31.66147 2.5526524 0.0634445 157.87048 301.52848 14.41083 9.39 0.15
 171 Ophelia 1999 08 10.000 347.49878 3.1334675 0.1261425 58.25006 100.62458 2.54477 8.31 0.15
 172 Baucis 1999 08 10.000 310.46215 2.3798075 0.1136517 359.46566 332.23924 10.03298 8.79 0.15
 173 Ino 1999 08 10.000 272.70808 2.7432293 0.2071566 228.46014 148.43470 14.19395 7.66 0.01
 174 Phaedra 1999 08 10.000 145.77808 2.8616598 0.1431928 290.10564 327.90276 12.12369 8.48 0.15
 175 Andromache 1999 08 10.000 38.52103 3.1892814 0.2322322 322.00903 21.46152 3.22070 8.31 0.15
 176 Iduna 1999 08 10.000 177.24289 3.1936292 0.1624872 184.01709 200.90311 22.52522 7.9 0.15
 177 Irma 1999 08 10.000 156.23230 2.7720289 0.2343112 38.06714 347.77838 1.39588 9.49 0.15
 178 Belisana 1999 08 10.000 339.74358 2.4602766 0.0440930 209.21897 51.27623 1.90196 9.38 0.15
 179 Klytaemnestra 1999 08 10.000 322.57053 2.9711432 0.1117568 106.68226 252.20170 7.81503 8.15 0.15
 180 Garumna 1999 08 10.000 20.55165 2.7208043 0.1678361 175.59394 312.84845 0.87165 10.31 0.15
 181 Eucharis 1999 08 10.000 13.12825 3.1351219 0.1978376 316.44470 143.75277 18.81422 7.84 0.15
 182 Elsa 1999 08 10.000 194.10796 2.4168723 0.1855512 309.89217 107.30411 2.00261 9.12 0.15
 183 Istria 1999 08 10.000 65.87427 2.7935695 0.3480507 263.62142 142.31610 26.42169 9.68 0.15
 184 Dejopeja 1999 08 10.000 123.23869 3.1762840 0.0812768 209.01741 332.78742 1.14742 8.31 0.15
 185 Eunike 1999 08 10.000 60.06254 2.7371082 0.1289028 223.07352 154.07938 23.25700 7.62 0.15
 186 Celuta 1999 08 10.000 31.95484 2.3624316 0.1509500 315.38566 14.91515 13.17876 8.91 0.15
 187 Lamberta 1999 08 10.000 305.39335 2.7313606 0.2370688 195.45815 21.94373 10.59619 8.16 0.15
 188 Menippe 1999 08 10.000 96.29221 2.7611956 0.1781583 69.15535 241.24645 11.72942 9.22 0.15
 189 Phthia 1999 08 10.000 185.58453 2.4508480 0.0356936 166.30760 203.73127 5.17771 9.33 0.15
